year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2023,THA,Thailand,TH,Chiang Rai,TH57,528400,510159,1038559,26506,28143,28921,27019,22153,24589,25596,27773,37920,47607,53913,51592,39715,30712,22108,16687,17446,26866,29436,30253,29578,24646,26223,26543,27490,34827,44775,49869,48321,37095,27627,19353,14244,13013,53372,57579,59174,56597,46799,50812,52139,55263,72747,92382,103782,99913,76810,58339,41461,30931,30459
2023,THA,Thailand,TH,Chon Buri,TH20,1154134,1176253,2330387,21159,52488,53487,67925,95388,138710,118266,99528,96857,84575,75194,65996,62960,47816,31221,19260,23304,18116,45485,43928,54209,80917,128566,128800,115549,110964,98277,81527,69044,76006,67815,28799,14208,14043,39275,97973,97415,122134,176305,267276,247066,215077,207821,182852,156721,135040,138966,115631,60020,33468,37347
2023,THA,Thailand,TH,Chumphon,TH86,209323,213578,422901,12329,11660,11935,10905,10965,13217,13530,14124,15885,15726,15430,14417,13425,11390,8691,6724,8970,12585,12371,12841,12756,13526,15605,15557,15129,17278,16532,15438,13758,11903,9717,7634,5253,5695,24914,24031,24776,23661,24491,28822,29087,29253,33163,32258,30868,28175,25328,21107,16325,11977,14665
2023,THA,Thailand,TH,Kalasin,TH46,311288,294646,605934,18266,19214,19789,16253,9941,11241,14529,19678,24904,24852,25594,27543,26953,22178,13360,8313,8680,19051,20453,20736,17432,11020,11884,13887,18484,24289,24522,24523,25085,23355,18318,9916,6127,5564,37317,39667,40525,33685,20961,23125,28416,38162,49193,49374,50117,52628,50308,40496,23276,14440,14244
2023,THA,Thailand,TH,Kamphaeng Phet,TH62,427417,408995,836412,24893,25784,25811,21845,16295,18571,21772,24025,31076,34929,36664,37602,33874,26694,19769,13037,14776,26348,27735,26794,23420,18759,20610,21740,23748,29371,33427,33247,34817,29758,22760,16794,10212,9455,51241,53519,52605,45265,35054,39181,43512,47773,60447,68356,69911,72419,63632,49454,36563,23249,24231
2023,THA,Thailand,TH,Kanchanaburi,TH71,379930,372300,752230,21866,23443,22825,20568,19321,21953,22854,24231,28260,29889,31614,29670,26148,21015,15141,9349,11783,23600,24946,24709,22808,24298,24222,23719,23807,26612,28115,29322,27448,22820,18376,12674,7613,7211,45466,48389,47534,43376,43619,46175,46573,48038,54872,58004,60936,57118,48968,39391,27815,16962,18994
2023,THA,Thailand,TH,Khon Kaen,TH40,809391,760148,1569539,37723,41070,44166,50966,50621,40288,43345,49844,62313,62471,65208,66151,65491,52970,33164,20681,22919,44653,43493,46253,51454,49087,40704,41528,46352,58448,59608,60020,61278,56797,43955,26669,15036,14813,82376,84563,90419,102420,99708,80992,84873,96196,120761,122079,125228,127429,122288,96925,59833,35717,37732
2023,THA,Thailand,TH,Krabi,TH81,167064,167901,334965,12447,11798,10746,9301,9863,12369,12416,12140,12609,12272,11315,10304,8565,6937,5437,3742,4803,13125,12631,11300,10511,11065,12768,11995,12127,13021,12574,10961,9669,7890,6271,4913,3376,3704,25572,24429,22046,19812,20928,25137,24411,24267,25630,24846,22276,19973,16455,13208,10350,7118,8507
2023,THA,Thailand,TH,Lampang,TH52,298107,288724,586831,11388,12533,14363,13656,9521,9623,11688,15509,22185,28363,31500,30978,24568,20345,15808,12145,13934,11884,12945,15194,15356,11470,11022,11963,14661,20712,27137,30584,30162,23539,18152,13984,10327,9632,23272,25478,29557,29012,20991,20645,23651,30170,42897,55500,62084,61140,48107,38497,29792,22472,23566
2023,THA,Thailand,TH,Lamphun,TH51,184995,174504,359499,6495,6933,7332,8107,9192,13883,12017,9716,12460,16369,18569,18094,13800,10790,7888,6129,7221,6967,7030,7668,8779,9680,14013,11759,9390,11557,15175,16578,16298,12197,9828,7119,5281,5185,13462,13963,15000,16886,18872,27896,23776,19106,24017,31544,35147,34392,25997,20618,15007,11410,12406
