ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงการทาง,จังหวัด
3330,100,สุขสำราญ - สำโรงชัย,8+450,188,52,0,1,0,880,66,35,30,1,1253,10.62,5,370,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
4244,100,เบตง - ซาโห่,1+000,189,197,0,0,0,84,40,0,0,0,510,7.84,0,344,ยะลา,ยะลา
4236,100,ถนนแพรก - ลำนาว,37+380,191,64,0,0,0,980,85,48,7,2,1377,10.31,0,812,กระบี่,นครศรีธรรมราช
1263,100,ขุนยวม - ปางอุ๋ง,0+600,192,293,0,0,0,1094,40,4,1,0,1624,2.77,15,1503,แม่ฮ่องสอน,แม่ฮ่องสอน
1404,100,หนองช้าง - ศรีสัชนาลัย,6+000,192,127,14,48,10,113,62,45,9,7,627,28.87,22,273,สุโขทัย,สุโขทัย
1301,100,หนองขนาก - หนองระมาน,4+825,193,134,0,0,0,552,34,26,20,18,977,10.03,4,196,พิจิตร,พิจิตร
1053,100,ทางเข้าบ้านหลุม,2+500,195,592,5,4,8,14,51,17,2,11,899,10.35,31,803,สุโขทัย,สุโขทัย
1155,101,บ้านปี้ - ทรายกาด,10+000,195,69,23,3,4,1650,85,12,2,2,2045,5.28,31,1363,เชียงรายที่ 2,เชียงราย
1308,100,เตว็ดใน - วังทองแดง,1+500,195,603,2,0,0,110,278,37,16,3,1244,26.85,31,595,สุโขทัย,สุโขทัย
1210,100,สบสา - ก๊อหลวง,1+000,197,55,6,2,0,991,81,2,0,0,1334,6.37,100,972,พะเยา,พะเยา
105,103,แม่สลิดหลวง - แม่เงา,114+300,198,34,94,22,0,661,47,19,0,0,1075,8.19,37,907,ตากที่ 2 (แม่สอด),ตาก
1132,101,วังประจบ - ลานทอง,2+083,198,145,8,1,0,863,47,41,98,46,1447,16.1,9,757,ตากที่ 1,ตาก
2016,200,ตาวตาด - ตาดกลอย,57+050,198,100,19,0,0,505,34,35,6,5,902,8.87,16,224,เพชรบูรณ์ที่ 1,เพชรบูรณ์
2112,200,หนามแท่ง - โขงเจียม,76+774,198,74,1,5,39,449,50,9,5,0,830,13.01,22,595,อุบลราชธานีที่ 2,อุบลราชธานี
2458,100,โคกไทร - ปวงตึก,10+446,198,244,12,1,0,772,168,14,8,2,1419,13.6,70,1658,สุรินทร์,สุรินทร์
4306,100,ทางเข้าหลักเมือง,1+000,198,114,16,0,5,549,40,18,5,0,945,7.2,9,906,ตรัง,ตรัง
1215,100,ห้วยบง - วังผา,0+700,199,166,2,0,0,436,111,72,13,11,1010,20.5,36,786,ตากที่ 2 (แม่สอด),ตาก
4091,101,บางสีกิ้ม - เขาค่าย,19+088,199,51,18,0,0,161,9,6,1,1,446,3.81,1,273,ระนอง,ระนอง
2418,100,โพนทอง -  หนองพอก,26+000,200,79,13,8,2,1290,56,13,0,0,1661,4.76,9,734,ร้อยเอ็ด,ร้อยเอ็ด
3040,200,จันทร์ลาด - พระแท่นดงรัง,19+790,200,27,1,0,0,717,20,47,38,10,1060,10.85,9,543,สุพรรณบุรีที่ 2 (อู่ทอง),กาญจนบุรี
4189,100,ท่าพุด - ยอดเหลือง,0+500,200,102,0,0,0,180,8,12,8,0,510,5.49,4,526,นครศรีธรรมราชที่ 1,นครศรีธรรมราช
1194,100,แม่สะเรียง - แม่สามแลบ,38+200,201,100,31,0,0,604,96,58,14,0,1104,15.22,4,979,แม่ฮ่องสอน,แม่ฮ่องสอน
1226,100,จ่าโบ่ -  ปางคาม,0+500,202,11,2,0,0,293,24,5,0,0,537,5.4,0,351,แม่ฮ่องสอน,แม่ฮ่องสอน
4263,100,หาดผก - บางอ้อ,5+550,205,18,1,0,0,404,8,4,2,1,643,2.33,0,312,สุราษฎร์ธานีที่ 2 (กาญจนดิษฐ์),สุราษฎร์ธานี
1091,200,ปงสนุก - น่าน,86+327,206,92,7,0,6,598,61,13,14,0,997,9.43,38,533,น่านที่ 1,น่าน
2399,101,สานตม - โคกใหญ่,14+084,207,13,2,0,0,49,62,17,17,10,377,28.12,2,117,เลยที่ 2 (ด่านซ้าย),เลย
2287,200,สานแว้ - กุดปลาค้าว,78+335,208,232,11,9,4,1402,93,29,7,2,1997,7.21,31,911,สกลนครที่ 1,กาฬสินธุ์
3475,100,ทับกฤช - พนมรอก,14+250,208,391,0,0,0,859,43,32,25,3,1561,6.6,8,395,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
4345,100,ควนกุน - หนองชุมแสง,2+000,209,108,0,2,0,388,39,106,2,0,854,17.45,2,545,กระบี่,ตรัง
1328,100,แสงภา - นาปอ,7+000,210,78,0,0,0,244,110,7,0,1,650,18.15,3,394,เลยที่ 2 (ด่านซ้าย),เลย
3372,101,นาคู - สามโก้,12+000,210,104,54,20,13,324,116,60,52,32,985,29.75,22,392,อ่างทอง,อ่างทอง
1375,200,ดงเย็น - ดงทอง,13+000,211,154,4,6,0,1028,49,50,169,56,1727,19.11,31,712,นครสวรรค์ที่ 1,นครสวรรค์
3457,100,ไทรโยค - ท่าทุ่งนา,0+500,211,166,53,1,20,450,14,13,2,8,938,6.18,2,157,กาญจนบุรี,กาญจนบุรี
108,202,ห้วยงู - หนองแห้ง,240+850,212,116,2,1,5,849,74,27,24,4,1314,10.27,19,911,แม่ฮ่องสอน,แม่ฮ่องสอน
2122,100,บักจรัง - มะโน,4+200,212,154,1,1,0,478,48,10,11,3,918,7.95,51,487,สุรินทร์,สุรินทร์
4243,100,สะเดา - สะท้อน,32+360,212,144,9,6,0,58,8,4,0,0,441,4.08,39,603,สงขลาที่ 2 (นาหม่อม),สงขลา
1081,102,หลักลาย - บ่อเกลือ,70+892,214,194,116,75,41,87,38,31,2,0,798,23.43,0,154,น่านที่ 2,น่าน
1412,100,คอกควายใหญ่ - พนมรอก,15+568,215,27,0,0,0,302,14,5,11,3,577,5.72,4,208,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
4289,100,สามแยกทางรถไฟ - วังสมบูรณ์,0+200,216,37,4,1,0,432,5,37,0,0,732,5.87,1,968,ตรัง,ตรัง
4041,100,บางผึ้ง - โคกยาง,2+000,217,87,10,0,3,458,49,13,17,4,858,10.02,12,514,กระบี่,กระบี่
4154,100,ทางเข้าคันธุลี,3+500,218,114,2,3,0,192,149,63,21,9,771,31.78,29,357,สุราษฎร์ธานีที่ 1 (พุนพิน),สุราษฎร์ธานี
1328,100,แสงภา - นาปอ,20+643,220,84,0,0,2,245,102,6,5,0,664,17.32,0,398,เลยที่ 2 (ด่านซ้าย),เลย
4225,100,สวนปาล์ม -คลองชี,31+500,220,89,0,0,0,1017,78,47,6,1,1458,9.05,0,830,กระบี่,ตรัง
4326,100,เบตง - บ้าน กม.17,17+475,221,171,0,0,0,359,53,28,0,0,832,9.74,0,938,ยะลา,ยะลา
4348,100,ห้วยเจ - ควนอารีย์,1+500,221,50,0,1,3,846,36,36,7,8,1208,7.53,7,878,กระบี่,ตรัง
1098,102,ท่าข้าวเปลือก - แก่นใต้,30+060,222,282,93,0,1,1163,61,25,43,18,1908,7.76,71,613,เชียงรายที่ 2,เชียงราย
1311,100,คีรีมาศ - หนองบัว,3+000,222,606,0,0,0,112,80,57,56,11,1144,17.83,6,501,สุโขทัย,สุโขทัย
108,203,หนองแห้ง - แม่สุริน,269+100,223,100,12,6,6,480,47,21,29,4,928,12.18,4,279,แม่ฮ่องสอน,แม่ฮ่องสอน
1090,101,แม่สอด - ห้วยน้ำริน,37+839,223,172,102,6,1,3694,91,36,9,2,4336,3.34,11,626,ตากที่ 2 (แม่สอด),ตาก
2479,102,น้ำแคม - ปากคาน,13+650,223,58,3,0,4,107,101,168,251,109,1024,61.82,8,199,เลยที่ 2 (ด่านซ้าย),เลย
3271,100,เนินสูง - ด่านชุมพล,3+500,223,171,14,0,0,714,26,13,7,0,1168,3.94,1,582,ตราด,ตราด
2065,200,ลำชี - คอนสวรรค์,42+283,224,213,187,154,70,932,312,246,203,214,2755,43.52,131,701,ชัยภูมิ,ชัยภูมิ
3374,200,หนองหัดไท - ดอนยาง,29+862,226,28,3,3,5,854,46,19,14,3,1201,7.49,17,712,ชุมพร,ชุมพร
3247,100,โป่งน้ำร้อน - จางวาง,0+500,227,158,3,0,2,1368,25,23,19,18,1843,4.72,12,651,จันทบุรี,จันทบุรี
1098,101,กิ่วพร้าว - ท่าข้าวเปลือก,4+450,228,93,8,3,3,922,80,58,57,15,1467,14.72,20,389,เชียงรายที่ 2,เชียงราย
1243,201,ห้วยไผ่ - หาดไร่,79+433,228,120,0,0,0,607,249,48,28,14,1294,26.2,47,584,น่านที่ 1,น่าน
2325,100,เขาค้อ - หนองแม่นา,1+000,229,254,3,0,0,445,30,7,0,0,968,3.82,0,304,เพชรบูรณ์ที่ 1,เพชรบูรณ์
1249,100,แม่งอน - หนองเต่า,5+000,230,168,44,9,0,396,42,10,0,0,899,6.79,23,284,เชียงใหม่ที่ 3,เชียงใหม่
2399,102,โคกใหญ่ - วังยาว,26+909,230,221,0,0,0,161,80,41,44,36,813,24.72,65,333,เลยที่ 2 (ด่านซ้าย),เลย
1251,102,บ้านปิน - เชียงม่วน,58+000,232,194,20,1,0,1055,177,40,2,1,1722,12.83,9,797,พะเยา,พะเยา
4349,100,เขาดิน - บางปอ,1+000,233,183,4,6,0,819,31,28,14,13,1331,6.91,28,581,สุราษฎร์ธานีที่ 1 (พุนพิน),สุราษฎร์ธานี
4092,100,รามัน - จะรังตาดง,14+300,234,309,0,0,0,300,45,9,1,0,898,6.13,26,732,ยะลา,ยะลา
1286,100,ตลิ่งชัน - เขาแม่แก่,0+500,236,446,0,0,0,476,50,52,366,41,1667,30.53,3,705,พิจิตร,พิจิตร
1105,100,ไฮ้ฮ้า - งิ้วงาม,1+485,238,1024,17,0,0,1575,60,0,0,0,2914,2.06,52,1446,อุตรดิตถ์ที่ 2,อุตรดิตถ์
1229,100,บ้านใหม่ - เปาสามขา,9+500,238,141,0,0,0,641,44,39,0,0,1103,7.53,26,636,เชียงใหม่ที่ 2,เชียงใหม่
3306,100,หนองปรือ - สระกระโจม,42+600,240,97,0,0,0,1086,91,40,19,3,1576,9.71,2,653,สุพรรณบุรีที่ 2 (อู่ทอง),กาญจนบุรี
1090,102,ห้วยน้ำริน - อุ้มผาง,89+089,244,446,32,1,0,498,77,54,0,0,1352,9.76,1,301,ตากที่ 2 (แม่สอด),ตาก
